,binaryClass_cat,FICE_num,State_cat,Type_cat,Average_salary-full_professors_num,Average_salary-associate_professors_num,Average_salary-assistant_professors_num,Average_salary-all_ranks_num,Average_compensation-full_professors_num,Average_compensation-associate_professors_num,Average_compensation-assistant_professors_num,Average_compensation-all_ranks_num,Number_of_full_professors_num,Number_of_associate_professors_num,Number_of_assistant_professors_num,Number_of_instructors_num
871,N,3289.0,PA,I,757.0,543.0,448.0,635.0,955.0,700.0,568.0,805.0,216.0,118.0,77.0,4.0
872,P,3290.0,PA,IIB,516.0,400.0,348.0,393.0,628.0,492.0,433.0,486.0,22.0,26.0,18.0,12.0
873,P,3293.0,PA,IIB,502.0,436.0,352.0,395.0,656.0,575.0,442.0,507.0,16.0,26.0,33.0,11.0
874,P,3296.0,PA,IIA,514.0,429.0,356.0,412.0,635.0,524.0,443.0,508.0,25.0,41.0,52.0,3.0
875,P,3297.0,PA,IIB,444.0,390.0,312.0,339.0,592.0,497.0,390.0,429.0,15.0,25.0,46.0,15.0
876,P,3298.0,PA,IIB,481.0,400.0,351.0,393.0,621.0,514.0,446.0,505.0,34.0,37.0,45.0,15.0
877,P,3301.0,PA,IIB,490.0,406.0,343.0,423.0,624.0,516.0,430.0,537.0,35.0,29.0,19.0,3.0
878,P,3303.0,PA,IIB,497.0,383.0,314.0,359.0,623.0,490.0,397.0,454.0,8.0,18.0,20.0,7.0
879,P,3304.0,PA,IIB,589.0,432.0,359.0,449.0,809.0,568.0,463.0,600.0,36.0,31.0,37.0,2.0
880,N,3313.0,PA,IIA,670.0,556.0,439.0,529.0,870.0,714.0,567.0,683.0,60.0,136.0,88.0,18.0
881,N,3315.0,PA,IIA,669.0,538.0,428.0,528.0,856.0,710.0,580.0,696.0,98.0,109.0,131.0,10.0
882,N,3316.0,PA,IIA,674.0,541.0,436.0,549.0,850.0,700.0,578.0,708.0,112.0,108.0,64.0,25.0
883,P,3317.0,PA,IIA,692.0,554.0,379.0,550.0,884.0,732.0,530.0,725.0,35.0,35.0,21.0,7.0
884,N,3320.0,PA,IIA,676.0,531.0,415.0,526.0,858.0,696.0,556.0,686.0,95.0,72.0,85.0,20.0
885,N,3321.0,PA,IIA,676.0,545.0,424.0,516.0,870.0,714.0,570.0,679.0,111.0,86.0,169.0,26.0
886,N,3322.0,PA,IIA,669.0,544.0,418.0,528.0,847.0,707.0,558.0,685.0,119.0,117.0,122.0,25.0
887,P,3323.0,PA,IIB,676.0,544.0,417.0,508.0,820.0,675.0,527.0,631.0,46.0,64.0,61.0,26.0
888,P,3324.0,PA,IIB,665.0,532.0,428.0,516.0,839.0,690.0,568.0,670.0,47.0,60.0,58.0,14.0
889,N,3325.0,PA,IIA,660.0,552.0,429.0,549.0,842.0,723.0,576.0,716.0,117.0,97.0,100.0,6.0
890,N,3326.0,PA,IIA,673.0,545.0,425.0,573.0,848.0,706.0,567.0,735.0,148.0,67.0,83.0,3.0
891,N,3327.0,PA,IIA,675.0,532.0,431.0,537.0,836.0,670.0,552.0,676.0,127.0,104.0,138.0,11.0
892,N,3328.0,PA,IIA,667.0,540.0,431.0,533.0,821.0,680.0,554.0,671.0,136.0,163.0,176.0,8.0
893,P,3354.0,PA,IIB,538.0,425.0,362.0,417.0,693.0,571.0,452.0,538.0,17.0,28.0,39.0,1.0
894,P,3357.0,PA,IIB,411.0,331.0,290.0,357.0,519.0,430.0,363.0,452.0,33.0,19.0,17.0,1.0
895,P,3359.0,PA,IIB,575.0,454.0,406.0,438.0,724.0,576.0,513.0,554.0,11.0,43.0,42.0,7.0
896,P,3362.0,PA,IIB,489.0,380.0,329.0,368.0,575.0,479.0,403.0,453.0,7.0,23.0,24.0,1.0
897,P,3366.0,PA,IIB,472.0,392.0,323.0,375.0,573.0,481.0,403.0,463.0,20.0,14.0,24.0,8.0
898,P,3367.0,PA,IIA,594.0,484.0,427.0,487.0,764.0,628.0,539.0,623.0,39.0,50.0,63.0,2.0
899,P,3368.0,PA,IIB,436.0,399.0,317.0,363.0,603.0,540.0,406.0,481.0,14.0,20.0,20.0,10.0
900,P,3369.0,PA,IIB,534.0,420.0,359.0,422.0,661.0,519.0,443.0,521.0,25.0,26.0,33.0,5.0
901,P,3370.0,PA,IIB,704.0,519.0,417.0,562.0,868.0,651.0,526.0,699.0,68.0,44.0,47.0,2.0
902,N,3371.0,PA,I,736.0,579.0,454.0,606.0,913.0,724.0,568.0,755.0,490.0,332.0,291.0,37.0
903,P,3376.0,PA,IIB,408.0,342.0,287.0,369.0,534.0,443.0,376.0,481.0,33.0,14.0,10.0,1.0
904,N,3378.0,PA,I,881.0,622.0,532.0,744.0,1086.0,831.0,712.0,945.0,541.0,240.0,212.0,0.0
905,N,3379.0,PA,I,736.0,516.0,421.0,547.0,910.0,653.0,537.0,688.0,427.0,402.0,373.0,63.0
906,P,3380.0,PA,IIB,489.0,418.0,340.0,373.0,619.0,517.0,419.0,464.0,8.0,14.0,25.0,8.0
907,P,3381.0,PA,IIB,478.0,401.0,314.0,369.0,602.0,507.0,401.0,467.0,9.0,23.0,14.0,10.0
908,P,3382.0,PA,IIB,554.0,430.0,322.0,404.0,704.0,538.0,401.0,507.0,16.0,63.0,32.0,17.0
909,P,3384.0,PA,IIA,565.0,479.0,437.0,475.0,736.0,632.0,571.0,621.0,51.0,86.0,95.0,5.0
910,P,3385.0,PA,IIB,528.0,419.0,354.0,434.0,686.0,547.0,458.0,563.0,32.0,28.0,29.0,2.0
911,N,3388.0,PA,IIA,726.0,535.0,438.0,536.0,912.0,698.0,586.0,698.0,133.0,143.0,206.0,21.0
912,P,3389.0,PA,IIB,549.0,480.0,373.0,473.0,689.0,608.0,494.0,602.0,33.0,29.0,18.0,7.0
913,P,3391.0,PA,IIB,407.0,332.0,297.0,333.0,541.0,453.0,399.0,451.0,20.0,11.0,22.0,11.0
914,P,3392.0,PA,IIB,497.0,410.0,337.0,423.0,603.0,498.0,394.0,508.0,47.0,12.0,24.0,10.0
915,P,3394.0,PA,IIA,499.0,430.0,338.0,409.0,612.0,534.0,408.0,502.0,31.0,53.0,53.0,0.0
916,P,3396.0,PA,IIB,322.0,314.0,269.0,294.0,402.0,366.0,315.0,350.0,8.0,9.0,12.0,3.0
917,P,3399.0,PA,IIB,615.0,512.0,414.0,464.0,809.0,664.0,537.0,603.0,13.0,32.0,67.0,1.0
918,P,3986.0,PA,IIB,486.0,415.0,342.0,365.0,594.0,532.0,429.0,458.0,6.0,19.0,33.0,10.0
919,P,3987.0,PA,IIB,433.0,364.0,302.0,351.0,518.0,438.0,355.0,419.0,11.0,12.0,21.0,0.0
920,P,3988.0,PA,IIB,,328.0,296.0,307.0,,457.0,399.0,415.0,5.0,9.0,27.0,3.0
921,N,6965.0,PA,I,721.0,509.0,417.0,522.0,887.0,642.0,525.0,652.0,622.0,449.0,427.0,160.0
922,N,9235.0,PA,IIA,649.0,539.0,419.0,517.0,824.0,694.0,549.0,665.0,100.0,92.0,110.0,22.0
923,N,3401.0,RI,I,752.0,515.0,433.0,625.0,956.0,659.0,554.0,797.0,286.0,100.0,111.0,0.0
924,P,3402.0,RI,IIB,632.0,582.0,502.0,556.0,812.0,746.0,629.0,709.0,40.0,43.0,45.0,0.0
925,P,3406.0,RI,IIA,633.0,526.0,418.0,489.0,827.0,712.0,544.0,646.0,43.0,68.0,93.0,15.0
926,N,3407.0,RI,IIA,518.0,442.0,381.0,453.0,675.0,581.0,504.0,594.0,125.0,101.0,96.0,1.0
927,P,3409.0,RI,IIB,558.0,427.0,351.0,444.0,739.0,576.0,484.0,598.0,35.0,49.0,34.0,0.0
928,P,3411.0,RI,IIA,495.0,397.0,327.0,385.0,620.0,496.0,406.0,481.0,29.0,43.0,37.0,14.0
929,N,3414.0,RI,I,630.0,473.0,416.0,541.0,813.0,622.0,548.0,703.0,334.0,187.0,135.0,3.0
930,P,4917.0,RI,IIB,,,,464.0,,,,605.0,0.0,0.0,0.0,0.0
931,P,3419.0,SC,IIB,429.0,356.0,299.0,327.0,518.0,430.0,359.0,395.0,12.0,20.0,29.0,6.0
932,P,3420.0,SC,IIB,320.0,260.0,241.0,257.0,381.0,311.0,289.0,308.0,21.0,10.0,29.0,18.0
933,P,3422.0,SC,IIB,293.0,247.0,214.0,264.0,366.0,311.0,261.0,329.0,20.0,7.0,9.0,0.0
934,P,3423.0,SC,IIA,469.0,405.0,332.0,421.0,576.0,502.0,415.0,520.0,65.0,59.0,24.0,0.0
935,N,3425.0,SC,I,602.0,441.0,375.0,466.0,728.0,544.0,465.0,571.0,296.0,224.0,191.0,42.0
936,P,3427.0,SC,IIB,425.0,359.0,318.0,358.0,521.0,425.0,378.0,430.0,14.0,9.0,18.0,2.0
937,N,3428.0,SC,IIA,475.0,410.0,320.0,374.0,581.0,505.0,399.0,462.0,68.0,102.0,118.0,32.0
938,P,3430.0,SC,IIB,415.0,355.0,330.0,358.0,515.0,441.0,402.0,442.0,23.0,25.0,15.0,9.0
939,P,3431.0,SC,IIB,467.0,384.0,317.0,372.0,582.0,495.0,402.0,473.0,12.0,31.0,23.0,3.0
940,P,3432.0,SC,IIB,420.0,,297.0,355.0,527.0,,366.0,444.0,19.0,5.0,14.0,2.0
941,P,3434.0,SC,IIB,551.0,414.0,343.0,453.0,719.0,530.0,430.0,583.0,86.0,39.0,54.0,6.0
942,P,3435.0,SC,IIB,453.0,381.0,343.0,380.0,557.0,472.0,427.0,470.0,34.0,31.0,41.0,4.0
943,P,3436.0,SC,IIB,277.0,282.0,250.0,264.0,319.0,328.0,287.0,303.0,7.0,8.0,11.0,2.0
944,P,3439.0,SC,IIB,,278.0,252.0,269.0,,314.0,285.0,303.0,5.0,16.0,21.0,4.0
945,P,3440.0,SC,IIB,351.0,290.0,243.0,287.0,411.0,344.0,290.0,339.0,11.0,19.0,11.0,5.0
946,P,3445.0,SC,IIB,503.0,376.0,316.0,397.0,637.0,478.0,395.0,501.0,26.0,22.0,22.0,5.0
947,P,3446.0,SC,IIB,458.0,379.0,307.0,350.0,561.0,467.0,382.0,432.0,59.0,58.0,77.0,36.0
948,N,3448.0,SC,I,585.0,436.0,385.0,475.0,705.0,532.0,472.0,577.0,417.0,335.0,194.0,60.0
949,P,3449.0,SC,IIB,461.0,392.0,317.0,374.0,563.0,481.0,392.0,457.0,30.0,39.0,36.0,12.0
950,P,3451.0,SC,IIB,437.0,377.0,314.0,340.0,535.0,464.0,389.0,419.0,23.0,43.0,49.0,28.0
951,P,3455.0,SC,IIB,,,254.0,233.0,,,287.0,265.0,1.0,3.0,12.0,14.0
952,P,3456.0,SC,IIA,464.0,378.0,327.0,378.0,578.0,474.0,413.0,474.0,73.0,78.0,70.0,19.0
953,P,3457.0,SC,IIB,537.0,413.0,367.0,448.0,662.0,519.0,469.0,560.0,24.0,27.0,11.0,2.0
954,P,6951.0,SC,IIB,433.0,368.0,303.0,366.0,529.0,452.0,376.0,450.0,49.0,43.0,16.0,21.0
955,P,9226.0,SC,IIB,476.0,394.0,328.0,387.0,585.0,488.0,410.0,480.0,64.0,37.0,40.0,25.0
956,P,3458.0,SD,IIB,434.0,382.0,322.0,364.0,576.0,519.0,429.0,487.0,34.0,22.0,45.0,7.0
957,P,3459.0,SD,IIB,410.0,341.0,303.0,329.0,487.0,409.0,366.0,396.0,24.0,13.0,50.0,11.0
958,P,3461.0,SD,IIB,,290.0,246.0,257.0,,356.0,302.0,317.0,4.0,11.0,13.0,7.0
959,P,3463.0,SD,IIB,469.0,357.0,349.0,351.0,554.0,427.0,419.0,420.0,9.0,11.0,24.0,12.0
960,P,3466.0,SD,IIA,417.0,333.0,297.0,337.0,498.0,402.0,362.0,407.0,27.0,30.0,35.0,12.0
961,P,3469.0,SD,IIB,376.0,308.0,289.0,311.0,463.0,388.0,364.0,391.0,7.0,12.0,15.0,2.0
962,P,3470.0,SD,IIA,473.0,414.0,362.0,419.0,562.0,495.0,435.0,500.0,45.0,28.0,26.0,5.0
963,N,3471.0,SD,IIA,440.0,368.0,326.0,368.0,521.0,440.0,392.0,440.0,132.0,67.0,122.0,44.0
964,N,10300.0,SD,I,480.0,364.0,340.0,362.0,570.0,438.0,410.0,436.0,88.0,75.0,134.0,55.0
965,P,3478.0,TN,IIA,482.0,362.0,314.0,374.0,581.0,445.0,390.0,458.0,86.0,47.0,102.0,17.0
966,P,3479.0,TN,IIA,484.0,372.0,315.0,382.0,573.0,445.0,377.0,455.0,42.0,54.0,45.0,7.0
967,P,3480.0,TN,IIB,287.0,,255.0,262.0,345.0,,307.0,323.0,9.0,4.0,9.0,5.0
968,P,3481.0,TN,IIB,393.0,334.0,286.0,324.0,475.0,405.0,339.0,390.0,32.0,33.0,41.0,11.0
969,P,3482.0,TN,IIB,414.0,347.0,312.0,345.0,509.0,435.0,395.0,432.0,22.0,28.0,32.0,4.0
970,P,3486.0,TN,IIB,453.0,374.0,308.0,365.0,561.0,473.0,374.0,451.0,33.0,22.0,25.0,17.0
971,N,3487.0,TN,IIA,519.0,449.0,358.0,411.0,629.0,548.0,441.0,504.0,129.0,124.0,165.0,68.0
972,P,3490.0,TN,IIB,383.0,369.0,269.0,319.0,451.0,437.0,314.0,375.0,17.0,19.0,17.0,2.0
973,P,3492.0,TN,IIB,382.0,326.0,271.0,305.0,454.0,401.0,346.0,374.0,16.0,23.0,20.0,9.0
974,P,3498.0,TN,IIB,316.0,288.0,283.0,294.0,405.0,380.0,363.0,379.0,15.0,9.0,16.0,2.0
975,P,3500.0,TN,IIB,350.0,320.0,284.0,297.0,431.0,407.0,334.0,360.0,12.0,20.0,29.0,13.0
976,P,3505.0,TN,IIB,429.0,351.0,289.0,338.0,520.0,419.0,348.0,406.0,12.0,14.0,19.0,4.0
977,N,3509.0,TN,I,558.0,425.0,376.0,443.0,674.0,522.0,464.0,542.0,264.0,194.0,193.0,71.0
978,N,3510.0,TN,IIA,542.0,418.0,336.0,410.0,654.0,511.0,416.0,501.0,202.0,167.0,224.0,76.0
979,P,3511.0,TN,IIB,398.0,334.0,291.0,347.0,465.0,404.0,337.0,410.0,21.0,16.0,15.0,0.0
980,P,3518.0,TN,IIB,270.0,261.0,249.0,260.0,348.0,331.0,322.0,334.0,34.0,32.0,19.0,5.0
981,P,3519.0,TN,IIB,575.0,446.0,353.0,430.0,741.0,566.0,428.0,538.0,23.0,37.0,46.0,4.0
982,N,3522.0,TN,IIA,477.0,418.0,330.0,407.0,595.0,524.0,420.0,512.0,111.0,78.0,71.0,28.0
983,N,3523.0,TN,IIA,547.0,424.0,346.0,436.0,664.0,527.0,439.0,540.0,146.0,98.0,100.0,32.0
984,P,3527.0,TN,IIB,353.0,327.0,290.0,314.0,426.0,396.0,340.0,373.0,6.0,7.0,14.0,0.0
985,P,3528.0,TN,IIB,396.0,361.0,318.0,332.0,496.0,454.0,396.0,414.0,18.0,22.0,52.0,20.0
986,N,3529.0,TN,IIA,494.0,420.0,365.0,428.0,628.0,525.0,452.0,538.0,113.0,60.0,79.0,11.0
987,N,3530.0,TN,I,600.0,454.0,402.0,501.0,756.0,570.0,500.0,630.0,535.0,325.0,202.0,65.0
988,P,3531.0,TN,IIA,473.0,409.0,337.0,413.0,615.0,509.0,426.0,527.0,103.0,57.0,48.0,17.0
989,P,3534.0,TN,IIB,578.0,427.0,347.0,485.0,759.0,571.0,447.0,636.0,53.0,20.0,18.0,6.0
990,N,3535.0,TN,I,807.0,522.0,432.0,612.0,988.0,651.0,538.0,756.0,289.0,160.0,177.0,9.0
991,P,6725.0,TN,I,605.0,461.0,403.0,486.0,757.0,576.0,502.0,607.0,53.0,60.0,40.0,11.0
992,P,3537.0,TX,IIA,424.0,375.0,339.0,376.0,555.0,491.0,418.0,494.0,68.0,42.0,36.0,14.0
993,P,3541.0,TX,IIB,485.0,425.0,369.0,398.0,618.0,549.0,484.0,517.0,68.0,27.0,40.0,45.0
994,P,3543.0,TX,IIB,508.0,394.0,320.0,418.0,629.0,500.0,390.0,518.0,37.0,20.0,23.0,4.0
995,P,3564.0,TX,IIB,377.0,318.0,325.0,329.0,460.0,409.0,403.0,409.0,19.0,9.0,17.0,10.0
996,P,3565.0,TX,IIA,494.0,378.0,351.0,418.0,625.0,487.0,456.0,536.0,107.0,66.0,58.0,13.0
997,P,3571.0,TX,IIA,378.0,311.0,295.0,330.0,457.0,380.0,357.0,400.0,39.0,11.0,25.0,9.0
998,P,3576.0,TX,IIA,408.0,363.0,314.0,345.0,507.0,456.0,397.0,434.0,34.0,19.0,43.0,15.0
999,N,3581.0,TX,IIA,482.0,382.0,334.0,361.0,591.0,475.0,417.0,447.0,82.0,81.0,91.0,64.0
1000,P,3584.0,TX,IIB,404.0,343.0,319.0,349.0,525.0,431.0,428.0,449.0,15.0,18.0,11.0,6.0
1001,P,3592.0,TX,IIA,491.0,418.0,362.0,399.0,613.0,528.0,463.0,505.0,42.0,45.0,54.0,20.0
1002,N,3594.0,TX,I,551.0,443.0,382.0,448.0,674.0,550.0,479.0,555.0,249.0,203.0,234.0,5.0
1003,P,3598.0,TX,IIA,499.0,405.0,346.0,379.0,577.0,469.0,399.0,437.0,24.0,25.0,30.0,21.0
1004,N,3599.0,TX,IIA,503.0,426.0,343.0,367.0,625.0,536.0,439.0,467.0,63.0,85.0,109.0,109.0
1005,N,3604.0,TX,I,809.0,548.0,481.0,663.0,992.0,682.0,593.0,816.0,224.0,89.0,91.0,8.0
1006,N,3606.0,TX,IIA,497.0,403.0,341.0,408.0,633.0,523.0,451.0,529.0,147.0,63.0,116.0,10.0
1007,P,3610.0,TX,IIB,354.0,300.0,257.0,282.0,425.0,363.0,313.0,343.0,12.0,8.0,8.0,12.0
1008,N,3613.0,TX,I,733.0,505.0,463.0,550.0,918.0,636.0,570.0,687.0,158.0,154.0,135.0,5.0
1009,N,3615.0,TX,IIA,495.0,410.0,328.0,385.0,619.0,521.0,426.0,492.0,209.0,135.0,204.0,53.0
1010,P,3620.0,TX,IIB,627.0,470.0,373.0,478.0,763.0,581.0,465.0,590.0,22.0,33.0,25.0,3.0
1011,P,3621.0,TX,IIB,469.0,385.0,331.0,380.0,552.0,454.0,392.0,448.0,12.0,45.0,24.0,2.0
1012,P,3623.0,TX,IIA,652.0,474.0,383.0,502.0,744.0,560.0,452.0,585.0,58.0,57.0,49.0,5.0
1013,N,3624.0,TX,IIA,473.0,379.0,338.0,380.0,582.0,478.0,434.0,481.0,138.0,74.0,114.0,37.0
1014,P,3625.0,TX,IIB,440.0,368.0,310.0,354.0,562.0,474.0,410.0,462.0,34.0,15.0,24.0,8.0
1015,P,3630.0,TX,IIA,485.0,421.0,347.0,369.0,616.0,542.0,455.0,481.0,34.0,58.0,64.0,73.0
1016,P,3631.0,TX,IIA,446.0,399.0,347.0,354.0,570.0,516.0,455.0,462.0,42.0,48.0,48.0,62.0
1017,N,3636.0,TX,I,654.0,477.0,423.0,511.0,811.0,599.0,518.0,632.0,107.0,109.0,99.0,9.0
1018,P,3639.0,TX,IIA,467.0,393.0,348.0,386.0,589.0,502.0,450.0,494.0,72.0,51.0,41.0,12.0
1019,P,3641.0,TX,IIB,458.0,370.0,313.0,365.0,564.0,456.0,386.0,449.0,20.0,13.0,20.0,8.0
1020,N,3642.0,TX,I,551.0,455.0,366.0,423.0,684.0,573.0,469.0,535.0,83.0,82.0,104.0,50.0
1021,N,3644.0,TX,I,610.0,429.0,363.0,468.0,762.0,550.0,472.0,595.0,270.0,216.0,220.0,14.0
1022,P,3645.0,TX,IIB,456.0,536.0,298.0,439.0,570.0,656.0,370.0,544.0,42.0,30.0,15.0,9.0
1023,N,3646.0,TX,I,499.0,401.0,342.0,396.0,623.0,507.0,438.0,501.0,93.0,107.0,101.0,40.0
1024,P,3647.0,TX,IIA,696.0,477.0,389.0,548.0,860.0,610.0,497.0,686.0,95.0,61.0,57.0,3.0
1025,P,3651.0,TX,IIA,474.0,432.0,364.0,395.0,578.0,550.0,446.0,489.0,23.0,35.0,25.0,1.0
1026,N,3652.0,TX,I,681.0,462.0,398.0,520.0,836.0,585.0,510.0,651.0,341.0,288.0,238.0,24.0
1027,N,3656.0,TX,I,581.0,438.0,395.0,455.0,724.0,557.0,506.0,577.0,185.0,224.0,137.0,0.0
1028,N,3658.0,TX,I,732.0,476.0,432.0,577.0,888.0,599.0,548.0,713.0,997.0,439.0,480.0,30.0
1029,N,3661.0,TX,IIA,522.0,417.0,365.0,404.0,679.0,552.0,488.0,535.0,101.0,122.0,142.0,10.0
1030,P,3663.0,TX,IIB,433.0,278.0,252.0,311.0,502.0,338.0,362.0,387.0,18.0,19.0,15.0,10.0
1031,P,3665.0,TX,IIA,467.0,358.0,326.0,340.0,583.0,457.0,419.0,435.0,65.0,35.0,58.0,58.0
1032,N,6967.0,TX,I,619.0,474.0,397.0,476.0,791.0,610.0,504.0,607.0,226.0,131.0,103.0,7.0
1033,P,9651.0,TX,IIB,445.0,432.0,380.0,404.0,570.0,554.0,494.0,522.0,10.0,16.0,18.0,4.0
1034,P,9741.0,TX,I,661.0,505.0,451.0,557.0,810.0,634.0,571.0,692.0,89.0,58.0,59.0,1.0
1035,P,9930.0,TX,IIB,457.0,393.0,348.0,384.0,576.0,501.0,449.0,491.0,21.0,18.0,26.0,6.0
1036,N,10115.0,TX,IIA,546.0,441.0,379.0,429.0,685.0,562.0,489.0,548.0,61.0,120.0,108.0,6.0
1037,P,10298.0,TX,IIB,570.0,368.0,376.0,393.0,714.0,475.0,482.0,503.0,15.0,15.0,8.0,0.0
1038,N,10366.0,TX,I,645.0,460.0,394.0,505.0,798.0,587.0,509.0,637.0,652.0,424.0,305.0,2.0
1039,P,11161.0,TX,IIA,475.0,396.0,334.0,400.0,604.0,513.0,440.0,517.0,49.0,44.0,45.0,4.0
1040,P,11163.0,TX,IIA,522.0,421.0,359.0,409.0,666.0,548.0,496.0,538.0,39.0,37.0,24.0,0.0
1041,P,11711.0,TX,IIA,558.0,479.0,409.0,467.0,696.0,605.0,520.0,590.0,48.0,65.0,45.0,4.0
1042,P,11854.0,TX,IIB,,321.0,279.0,302.0,,392.0,350.0,368.0,2.0,7.0,8.0,2.0
1043,P,12826.0,TX,IIB,503.0,404.0,336.0,365.0,628.0,507.0,429.0,463.0,20.0,53.0,44.0,1.0
1044,P,13231.0,TX,IIB,,389.0,319.0,355.0,,498.0,411.0,456.0,5.0,11.0,11.0,2.0
1045,P,29269.0,TX,IIB,480.0,373.0,,429.0,616.0,490.0,,556.0,20.0,6.0,2.0,4.0
1046,N,3670.0,UT,I,661.0,504.0,431.0,543.0,851.0,668.0,577.0,711.0,577.0,382.0,304.0,49.0
1047,N,3675.0,UT,I,615.0,432.0,383.0,498.0,792.0,574.0,514.0,652.0,388.0,231.0,216.0,25.0
1048,N,3677.0,UT,I,518.0,403.0,364.0,420.0,688.0,546.0,497.0,567.0,199.0,165.0,158.0,20.0
1049,P,3678.0,UT,IIB,421.0,349.0,290.0,335.0,546.0,473.0,413.0,459.0,33.0,48.0,55.0,11.0
1050,N,3680.0,UT,IIB,483.0,388.0,341.0,389.0,633.0,522.0,458.0,518.0,160.0,97.0,124.0,61.0
1051,P,3681.0,UT,IIB,445.0,367.0,325.0,359.0,578.0,459.0,399.0,448.0,15.0,25.0,35.0,4.0
1052,P,3702.0,VA,IIB,372.0,319.0,281.0,328.0,454.0,395.0,342.0,400.0,19.0,15.0,11.0,3.0
1053,P,3704.0,VA,IIB,450.0,390.0,332.0,383.0,563.0,483.0,417.0,479.0,22.0,15.0,21.0,4.0
1054,N,3705.0,VA,I,679.0,499.0,382.0,525.0,827.0,621.0,484.0,650.0,185.0,132.0,123.0,30.0
1055,P,3706.0,VA,IIB,509.0,442.0,363.0,412.0,632.0,553.0,458.0,515.0,39.0,44.0,68.0,15.0
1056,P,3708.0,VA,IIB,387.0,335.0,286.0,325.0,480.0,411.0,355.0,402.0,26.0,13.0,15.0,13.0
1057,P,3709.0,VA,IIB,440.0,358.0,296.0,363.0,531.0,439.0,351.0,438.0,18.0,19.0,14.0,3.0
1058,P,3711.0,VA,IIB,415.0,342.0,299.0,353.0,508.0,417.0,362.0,431.0,27.0,21.0,16.0,5.0
1059,P,3713.0,VA,IIB,529.0,397.0,338.0,417.0,631.0,481.0,419.0,502.0,28.0,28.0,13.0,0.0
1060,N,3714.0,VA,IIA,494.0,377.0,323.0,359.0,568.0,440.0,374.0,415.0,45.0,86.0,134.0,13.0
1061,P,3715.0,VA,IIB,498.0,398.0,306.0,388.0,609.0,512.0,374.0,484.0,18.0,27.0,23.0,3.0
1062,P,3719.0,VA,IIB,487.0,420.0,336.0,393.0,611.0,529.0,431.0,497.0,33.0,50.0,50.0,17.0
1063,P,3720.0,VA,IIA,465.0,392.0,317.0,395.0,567.0,484.0,396.0,486.0,49.0,36.0,37.0,3.0
1064,N,3721.0,VA,IIA,521.0,447.0,366.0,441.0,647.0,560.0,466.0,553.0,187.0,151.0,131.0,39.0
1065,P,3723.0,VA,IIB,457.0,370.0,311.0,362.0,551.0,457.0,380.0,443.0,13.0,31.0,25.0,2.0
1066,P,3724.0,VA,IIA,524.0,418.0,369.0,448.0,616.0,493.0,434.0,528.0,48.0,30.0,34.0,0.0
1067,N,3728.0,VA,I,595.0,451.0,370.0,446.0,731.0,564.0,468.0,557.0,165.0,228.0,156.0,52.0
1068,N,3732.0,VA,IIA,499.0,393.0,354.0,407.0,613.0,488.0,443.0,505.0,137.0,119.0,92.0,43.0
1069,P,3733.0,VA,IIB,522.0,395.0,313.0,399.0,632.0,484.0,385.0,488.0,22.0,30.0,21.0,6.0
1070,P,3734.0,VA,IIB,495.0,411.0,337.0,409.0,623.0,512.0,424.0,512.0,17.0,28.0,18.0,2.0
1071,N,3735.0,VA,I,610.0,492.0,404.0,491.0,753.0,611.0,501.0,609.0,220.0,310.0,211.0,43.0
1072,P,3736.0,VA,IIB,494.0,408.0,338.0,412.0,624.0,523.0,422.0,522.0,27.0,37.0,28.0,0.0
1073,P,3737.0,VA,IIB,463.0,387.0,330.0,392.0,554.0,464.0,394.0,469.0,32.0,26.0,25.0,6.0
1074,P,3739.0,VA,IIB,319.0,309.0,275.0,290.0,399.0,368.0,341.0,357.0,8.0,9.0,8.0,8.0
1075,P,3742.0,VA,IIB,539.0,433.0,372.0,468.0,666.0,524.0,445.0,572.0,28.0,26.0,11.0,0.0
1076,P,3744.0,VA,IIA,711.0,550.0,418.0,565.0,883.0,686.0,512.0,700.0,80.0,70.0,72.0,0.0
1077,P,3746.0,VA,IIB,475.0,397.0,325.0,401.0,602.0,507.0,421.0,513.0,59.0,43.0,48.0,0.0
1078,P,3747.0,VA,IIB,445.0,352.0,313.0,350.0,552.0,442.0,397.0,440.0,17.0,14.0,18.0,4.0
1079,N,3749.0,VA,I,753.0,524.0,445.0,568.0,909.0,650.0,550.0,696.0,210.0,266.0,156.0,43.0
1080,P,3752.0,VA,IIB,332.0,318.0,279.0,307.0,392.0,373.0,333.0,363.0,7.0,15.0,12.0,0.0
1081,P,3753.0,VA,IIB,532.0,446.0,364.0,467.0,668.0,573.0,465.0,590.0,52.0,14.0,24.0,2.0
1082,N,3754.0,VA,I,655.0,467.0,404.0,519.0,802.0,582.0,506.0,641.0,598.0,526.0,270.0,91.0
1083,P,3764.0,VA,IIA,453.0,416.0,375.0,398.0,554.0,510.0,462.0,489.0,55.0,49.0,59.0,28.0
1084,N,3765.0,VA,IIA,492.0,429.0,355.0,406.0,618.0,545.0,456.0,516.0,83.0,88.0,92.0,30.0
1085,P,3766.0,VA,IIB,401.0,351.0,264.0,283.0,459.0,404.0,302.0,324.0,8.0,15.0,37.0,8.0
1086,P,3767.0,VA,IIB,527.0,432.0,356.0,436.0,643.0,534.0,447.0,538.0,28.0,11.0,24.0,9.0
