,binaryClass_cat,RollRate_num,PitchRate_num,currPitch_num,currRoll_num,diffRollRate_num
487,P,0.0113,0.0016,0.011,-0.022,0.00024
488,P,0.0087,0.0015,0.011,0.021,-0.00019
489,N,-0.0077,0.0019,0.014,0.025,-0.00033
490,N,-0.0034,0.0022,0.003,-0.012,-9e-05
491,P,0.0071,0.003,0.008,-0.006,0.0002
492,N,-0.0035,0.0022,0.011,0.006,-0.00038
493,N,-0.0065,0.0017,0.011,-0.012,0.0
494,P,0.005,0.0012,0.009,-0.017,0.00021
495,N,-0.0038,0.0023,0.009,0.001,-0.00028
496,N,-0.0064,0.0018,0.01,-0.011,-7e-05
497,P,0.0039,0.0023,0.013,-0.022,0.00017
498,N,0.006,0.0007,0.011,-0.013,9e-05
499,P,0.0077,0.0003,0.009,-0.002,0.0001
500,P,0.0037,-0.0019,0.007,0.013,-0.00031
501,P,-0.0053,0.003,0.007,0.012,-0.00047
502,N,-0.0122,0.0026,0.009,-0.001,-0.00047
503,P,0.0074,0.0011,0.009,-0.021,0.00036
504,P,0.0088,0.0025,0.011,-0.004,1e-05
505,P,0.006,0.0037,0.013,0.014,-0.00031
506,N,-0.0117,0.0009,0.019,0.005,-0.00047
507,N,0.0064,0.0067,0.024,-0.013,0.00017
508,P,0.0096,-0.0004,0.019,0.001,0.00015
509,N,-0.0042,-0.0014,0.014,0.019,-0.00062
510,N,-0.0087,-0.0015,0.01,0.002,-5e-05
511,N,-0.0019,0.002,0.019,-0.028,-8e-05
512,P,0.0015,-0.0023,0.007,0.01,4e-05
513,P,0.0006,0.0019,0.012,0.011,-7e-05
514,N,-0.0034,0.0035,0.022,0.007,-0.00012
515,N,-0.0047,-0.0014,0.022,-0.011,1e-05
516,P,0.0051,0.0012,0.008,0.011,-2e-05
517,P,0.0024,-0.0007,0.006,0.011,0.0
518,P,0.0037,-0.0014,0.016,0.013,3e-05
519,P,0.0011,0.0013,0.015,0.01,-1e-05
520,P,0.0011,-0.001,0.006,0.01,-1e-05
521,N,-0.0062,0.0015,0.013,-0.01,-5e-05
522,P,0.0057,0.0029,0.01,0.014,-7e-05
523,N,-0.0047,-0.0011,0.014,0.006,-5e-05
524,N,0.0038,0.0019,0.012,0.004,1e-05
525,P,0.0048,-0.0016,0.009,0.012,4e-05
526,P,0.0016,-0.0001,0.006,0.03,-9e-05
527,N,-0.0047,0.0002,0.006,0.023,-0.00013
528,P,0.0041,-0.0013,0.01,0.01,-2e-05
529,N,-0.005,0.0004,0.007,0.004,-6e-05
530,P,0.0039,-0.0009,0.014,0.003,-1e-05
531,P,0.001,-0.0006,0.011,0.011,-0.00011
532,N,-0.005,-0.0057,0.011,0.005,-0.00013
533,N,-0.0019,-0.0004,0.012,-0.014,8e-05
534,P,0.0051,0.0013,0.01,-0.006,0.00011
535,P,0.0045,-0.0009,0.014,0.013,-4e-05
536,P,0.0036,-0.0008,0.005,-0.012,0.00012
537,P,0.0058,0.0002,0.005,-0.001,7e-05
538,P,0.0033,0.001,0.011,0.01,7e-05
539,N,-0.0054,0.0027,0.013,-0.013,-2e-05
540,P,0.0075,-0.0027,0.009,-0.01,0.00014
541,P,0.0072,0.0015,0.003,0.027,-8e-05
542,N,-0.0039,0.0019,0.009,0.034,-0.00034
543,P,0.0044,0.0002,0.013,-0.011,0.00014
544,P,0.0058,0.0003,0.013,0.012,-1e-05
545,P,0.0014,0.0014,0.007,0.009,5e-05
546,N,-0.0051,0.0023,0.012,0.007,-0.00036
547,N,-0.0033,-0.001,0.011,-0.011,0.00019
548,N,-0.0051,-0.0002,0.01,0.006,-0.00011
549,P,0.0041,0.0012,0.009,-0.008,0.00013
550,N,-0.0039,0.0011,0.011,-0.028,-6e-05
551,P,0.0062,-0.0004,0.01,-0.006,1e-05
552,N,-0.0044,0.0009,0.009,0.008,-0.00013
553,N,0.0002,0.0015,0.011,-0.01,8e-05
554,P,0.0039,-0.001,0.009,-0.006,0.00016
555,P,0.0014,0.0011,0.006,0.01,2e-05
556,N,-0.0035,0.0019,0.012,0.007,-0.00014
557,P,0.0038,-0.0015,0.006,0.013,1e-05
558,P,0.0061,0.0025,0.011,0.011,1e-05
559,N,-0.0072,0.002,0.009,-0.012,0.0
560,N,-0.0038,-0.0001,0.011,0.004,-6e-05
561,P,0.005,-0.0005,0.004,0.014,3e-05
562,P,0.0003,0.0018,0.01,0.027,-0.00013
563,N,-0.0055,0.0019,0.012,-0.012,3e-05
564,P,0.0013,-0.0031,0.009,0.01,0.0
565,N,-0.0042,0.0028,0.008,0.005,-0.00013
566,P,0.0065,0.0001,0.003,0.014,5e-05
567,P,0.0049,0.0038,0.013,0.03,-9e-05
568,P,0.0008,0.0009,0.008,0.01,-2e-05
569,P,0.004,-0.0013,0.008,0.011,5e-05
570,N,-0.0044,0.0004,0.012,-0.036,0.00012
571,P,0.0096,-0.0006,0.007,-0.024,0.00024
572,N,-0.0081,0.0006,0.012,0.01,-0.00026
573,N,-0.005,-0.0018,0.013,-0.014,0.00026
574,P,0.0066,-0.0003,0.008,-0.002,7e-05
575,P,0.0063,-0.0001,0.008,0.011,-5e-05
576,P,-0.0055,-0.0008,0.004,0.009,-6e-05
577,N,-0.0069,0.0017,0.008,0.001,-9e-05
578,N,-0.0057,-0.003,0.012,-0.014,0.00014
579,N,-0.0019,0.0004,0.008,-0.027,-2e-05
580,P,0.0061,-0.0002,0.005,-0.017,0.00012
581,P,0.0038,0.0025,0.009,0.01,-0.00014
582,N,-0.0049,-0.0023,0.012,0.007,-0.00014
583,P,0.004,-0.0001,0.011,0.011,1e-05
584,N,-0.0069,-0.0005,0.007,-0.014,-2e-05
585,N,-0.0039,0.0011,0.009,-0.029,0.00013
586,P,0.0064,-0.0002,0.012,-0.023,0.00018
587,P,0.0051,-0.0009,0.009,0.011,-8e-05
588,N,-0.002,0.0013,0.009,-0.011,2e-05
589,N,-0.0035,-0.0004,0.009,-0.011,-5e-05
590,N,-0.003,0.0016,0.008,-0.012,-7e-05
591,P,0.0046,0.0002,0.01,0.011,-4e-05
592,N,-0.0065,0.0005,0.012,0.002,-9e-05
593,N,-0.0055,0.0002,0.011,-0.011,0.00012
594,P,0.0042,0.0011,0.007,-0.013,0.00012
595,N,-0.0017,0.0024,0.013,-0.01,1e-05
596,P,0.005,-0.0017,0.011,-0.004,0.00013
597,N,-0.0068,0.0015,0.008,0.006,-0.00016
598,N,-0.0008,-0.0004,0.01,-0.009,-2e-05
599,P,0.0033,0.0013,0.01,-0.005,6e-05
600,N,-0.0038,0.0006,0.008,-0.013,-1e-05
601,P,0.0013,0.0014,0.011,0.01,-2e-05
602,N,-0.0051,-0.0008,0.012,0.005,-0.00025
603,P,0.0024,0.0003,0.011,0.028,-8e-05
604,N,-0.0036,-0.0004,0.009,0.026,-0.00013
605,P,0.0026,-0.0009,0.01,0.01,6e-05
606,N,-0.0045,-0.002,0.004,0.005,-9e-05
607,P,0.0044,0.0009,0.014,-0.006,0.00013
608,P,0.0051,-0.0026,0.009,0.014,1e-05
609,N,-0.004,0.0006,0.009,0.006,-2e-05
610,P,0.0049,0.0002,0.009,0.016,2e-05
611,P,0.004,0.0003,0.01,0.029,-5e-05
612,N,-0.0013,0.0006,0.011,0.033,-0.00017
613,P,-0.0003,-0.0009,0.006,0.027,5e-05
614,P,0.0024,0.0025,0.011,0.011,0.0
615,P,0.0046,0.001,0.004,0.014,6e-05
616,P,0.0023,0.0015,0.009,0.028,-9e-05
617,N,-0.0046,0.0,0.011,0.021,-0.00011
618,N,-0.0021,0.0006,0.006,-0.013,3e-05
619,P,0.0063,0.0022,0.02,-0.005,0.00017
620,N,-0.0038,-0.0048,0.004,0.007,-0.00026
621,N,-0.0029,0.0019,0.005,-0.012,-3e-05
622,P,0.008,-0.0018,0.008,0.014,5e-05
623,P,0.0068,-0.0006,0.006,0.029,-0.00011
624,N,-0.0085,0.0001,0.007,0.023,-0.00019
625,P,0.0047,0.0021,0.007,-0.016,0.00015
626,N,-0.005,0.0019,0.007,0.007,-0.00011
627,N,-0.0034,0.0008,0.01,-0.01,0.00011
628,P,0.0059,0.0002,0.009,-0.005,0.00018
629,P,0.0043,0.0007,0.011,0.013,-9e-05
630,N,-0.0062,-0.0017,0.005,0.005,-0.00012
631,N,-0.0047,-0.0003,0.003,-0.01,0.00012
632,P,0.0037,0.0005,0.001,-0.013,0.00019
633,P,0.005,0.0006,0.001,-0.006,6e-05
634,P,-0.0041,-0.0013,0.005,0.006,-0.00019
635,N,-0.0023,-0.0009,0.005,-0.01,-1e-05
636,P,0.0035,0.0006,0.005,-0.008,0.00011
637,N,-0.0012,-0.0015,0.012,-0.01,4e-05
638,P,0.0034,-0.0023,0.003,-0.006,0.00012
639,N,-0.0035,-0.0008,0.005,-0.006,-0.00012
640,P,0.0045,-0.0002,0.012,0.01,-3e-05
641,N,-0.0041,-0.0018,0.008,0.012,-0.00016
642,N,-0.0014,0.0056,0.004,-0.01,-5e-05
643,P,0.0028,0.0009,0.014,-0.007,3e-05
644,N,-0.0097,-0.003,0.029,-0.009,-4e-05
645,P,0.0062,0.0013,0.018,-0.019,0.00022
646,P,0.0083,0.0012,0.017,-0.005,5e-05
647,N,-0.0033,0.0017,0.023,0.006,-2e-05
648,N,-0.0031,0.0029,0.016,-0.012,-9e-05
649,P,0.007,0.0033,0.025,-0.002,0.0001
650,P,0.0056,0.0021,0.026,0.012,-0.00012
651,N,-0.0051,0.002,0.029,0.012,-0.00012
652,N,-0.0059,0.0006,0.029,0.004,-3e-05
653,P,0.0083,-0.0007,0.021,0.01,0.00018
654,N,0.0043,0.0011,0.022,0.027,-0.00032
655,N,-0.0052,0.001,0.021,0.024,-0.00021
656,P,0.0016,0.0,0.016,0.009,0.00017
657,P,-0.0041,0.0018,0.009,0.007,-1e-05
658,N,-0.0067,0.0036,0.017,-0.014,-4e-05
659,P,0.0052,0.0032,0.024,-0.023,0.00016
660,N,-0.0057,-0.0026,0.011,-0.008,-0.00024
661,P,0.0053,0.0037,0.011,-0.023,0.00012
662,N,-0.006,0.0005,0.022,-0.012,-0.00012
663,P,0.0056,-0.0026,0.005,-0.023,0.00038
664,N,-0.0061,0.0037,0.02,0.009,-0.00037
665,N,-0.0116,0.002,0.021,-0.008,-0.00025
666,N,-0.0047,-0.0028,0.014,-0.044,0.00038
667,P,0.0053,-0.0031,0.004,-0.044,0.00054
668,P,0.0098,0.0027,0.016,0.004,9e-05
669,P,0.0038,-0.0016,0.015,0.028,-0.00035
670,P,0.0064,-0.0074,0.018,-0.025,0.00024
671,P,0.0064,0.0023,0.007,0.012,4e-05
672,N,-0.0033,0.004,0.018,0.02,-0.00036
673,N,-0.0102,0.0009,0.019,0.003,-0.00022
674,P,0.0056,0.0003,0.011,-0.031,0.00032
675,N,-0.0031,0.0024,0.012,-0.01,4e-05
676,P,0.0065,0.0012,0.014,-0.005,0.00022
677,P,0.0064,0.0019,0.016,0.01,-0.00013
678,P,0.0008,-0.0002,0.01,0.028,-9e-05
679,N,-0.0069,0.0004,0.008,0.018,-0.0002
680,N,-0.0065,0.0013,0.009,-0.011,6e-05
681,P,0.0038,0.0002,0.011,-0.019,0.00024
682,P,0.005,0.0006,0.009,0.01,-7e-05
683,N,-0.0071,0.0013,0.011,0.008,-0.00026
684,P,0.0086,0.0012,0.007,-0.003,0.00033
685,N,-0.0065,0.0019,0.014,0.012,-0.00044
686,P,0.0085,0.0001,0.008,-0.006,0.00045
687,P,0.0086,0.0031,0.011,0.014,-0.00041
688,N,-0.0054,0.0,0.012,0.015,-0.00028
689,P,-0.0039,-0.0005,0.007,-0.01,0.00014
690,N,-0.0025,-0.0003,0.005,-0.014,9e-05
691,P,0.0054,0.0028,0.005,-0.009,0.00016
692,N,-0.0045,0.0022,0.019,-0.002,-0.00014
693,N,-0.0053,0.0021,0.021,-0.012,2e-05
694,P,0.0087,-0.0024,0.006,-0.005,0.0002
695,P,0.0076,0.0003,0.006,0.011,-0.00018
696,N,-0.0093,0.0018,0.013,0.006,-0.00027
697,P,0.0106,0.0008,0.003,-0.004,0.0002
698,N,-0.0069,0.0012,0.016,0.024,-0.00059
699,P,0.0047,0.0016,0.001,-0.002,0.00013
700,P,0.0027,0.0029,0.007,0.01,-0.00012
701,N,-0.0046,0.0022,0.012,0.007,-0.00019
702,P,0.0038,0.0005,0.014,-0.005,0.00016
703,N,-0.006,-0.0004,0.008,-0.006,-0.00017
704,P,0.0058,-0.0001,0.01,-0.018,0.00028
705,P,0.0036,0.0013,0.011,0.013,-0.00018
706,N,-0.008,0.0,0.008,0.007,-0.00035
707,N,-0.0069,0.001,0.008,-0.014,0.00019
708,P,0.0111,0.0003,0.005,-0.005,0.0003
709,N,-0.005,0.002,0.011,0.022,-0.00053
710,P,0.0073,-0.0001,0.001,-0.007,0.00015
711,N,-0.0028,0.0024,0.016,-0.011,-2e-05
712,P,0.0063,-0.0004,0.013,-0.007,0.00024
713,N,-0.0098,0.0013,0.014,0.0,-0.00033
714,N,-0.0055,-0.0038,0.011,-0.011,0.00037
715,P,0.0053,-0.0027,0.002,-0.012,0.00045
716,P,0.0107,-0.0007,0.0,0.0,0.00033
717,P,0.0027,0.0027,0.005,0.027,-0.0003
718,N,-0.0061,0.0029,0.009,0.024,-0.00039
719,N,-0.007,-0.0012,0.01,-0.008,-0.00015
720,P,0.0102,0.0005,0.006,-0.004,0.00024
721,N,-0.0069,0.0015,0.01,0.006,-0.0001
722,N,-0.0037,-0.0006,0.011,-0.011,0.00017
723,P,0.0036,0.0011,0.008,-0.007,1e-05
724,N,-0.0088,0.0014,0.015,-0.014,-0.00037
725,P,0.0093,-0.002,0.007,-0.024,0.00052
726,N,-0.0106,0.0021,0.013,-0.009,-0.00016
727,N,-0.0054,-0.0012,0.009,-0.031,0.00035
728,P,0.0049,0.0003,0.003,-0.032,0.00048
729,P,0.0024,0.0007,0.012,0.01,-0.00027
730,N,-0.0046,0.0002,0.012,0.009,-0.00046
731,P,0.0061,0.0,0.001,0.01,0.0001
732,N,-0.0068,0.0016,0.005,0.006,-0.00011
733,N,-0.0034,0.0023,0.008,-0.014,0.00016
734,P,0.007,0.0001,0.011,-0.007,0.00023
735,P,0.0082,0.0003,0.01,0.004,0.0
736,N,-0.0072,0.0008,0.006,0.005,-0.00015
737,N,-0.0048,0.0022,0.008,-0.01,0.0002
738,P,0.007,0.0027,0.013,-0.006,0.0003
739,P,0.001,-0.0002,0.02,0.01,-2e-05
740,N,-0.0037,-0.0013,0.018,0.008,-0.00037
741,N,-0.0045,-0.0004,0.013,-0.004,-0.00013
742,N,-0.0051,-0.0016,0.009,-0.012,-1e-05
743,P,0.0071,0.0044,0.001,-0.009,0.00022
744,P,0.0049,0.0047,0.011,0.011,-0.00021
745,N,-0.0103,-0.0035,0.016,0.002,-0.00035
746,P,0.0073,0.0003,0.002,-0.021,0.00035
747,P,0.0055,-0.0009,0.006,0.004,0.00013
748,N,-0.0059,0.0019,0.008,0.012,-0.00027
749,N,-0.0074,0.0025,0.011,0.0,-3e-05
750,N,-0.0055,0.0004,0.01,-0.012,0.00013
751,P,0.0082,0.0007,0.008,-0.009,0.00031
752,N,-0.0075,0.0003,0.014,0.006,-0.00028
753,P,0.0084,-0.0018,0.007,-0.004,0.00046
754,N,-0.0111,-0.0011,0.014,0.002,-0.00047
755,P,0.0097,-0.0032,0.001,-0.019,0.00053
756,P,0.0129,0.0067,0.003,0.007,2e-05
757,P,0.0079,0.0057,0.014,0.029,-0.00031
758,N,-0.004,0.0022,0.008,-0.013,0.00016
759,P,0.0047,-0.001,0.002,-0.014,0.00036
760,P,0.0089,0.0011,0.002,-0.003,6e-05
761,P,0.0059,0.0029,0.006,0.011,-0.0002
762,N,-0.0035,0.0018,0.011,0.016,-0.00043
763,N,-0.0083,-0.0001,0.011,0.006,-0.0002
764,P,0.0083,-0.0001,0.004,-0.004,0.0003
765,P,0.0077,0.0002,0.009,0.019,-0.0001
766,N,0.0048,0.0015,0.01,0.028,-0.00024
767,P,0.0009,0.0002,0.009,0.033,-0.00028
768,N,-0.0076,0.0001,0.007,0.024,-0.00027
769,P,0.0058,0.0015,0.011,-0.007,5e-05
770,P,0.0035,0.0013,0.008,0.007,0.00025
771,P,0.0037,0.0016,0.01,0.013,-0.00025
772,N,-0.0096,-0.0017,0.013,0.006,-0.00048
773,N,-0.0081,-0.0014,0.009,-0.013,0.00031
774,P,0.0087,0.0006,0.003,-0.012,0.00035
775,P,0.0054,0.002,0.006,0.015,-0.00033
776,N,-0.0075,0.0026,0.011,0.013,-0.00049
777,N,-0.0112,0.0021,0.013,-0.005,-0.0001
778,N,-0.005,0.0002,0.008,-0.037,0.00036
779,P,0.0057,-0.001,0.003,-0.036,0.00043
780,P,0.0111,0.0035,0.006,-0.018,2e-05
781,N,-0.0051,0.0023,0.016,0.002,-0.00054
782,N,-0.0083,0.0004,0.015,-0.012,-1e-05
783,P,0.009,-0.0011,0.006,-0.015,0.00037
784,P,0.0134,0.0002,0.004,0.013,7e-05
785,N,-0.0004,0.0014,0.008,0.042,-0.00061
786,P,-0.0055,0.0015,0.011,0.031,-8e-05
787,N,-0.0085,0.0011,0.012,0.02,-0.00019
788,P,0.0048,0.0005,0.004,0.012,0.0
789,N,-0.0042,0.0025,0.009,0.013,-0.00016
790,N,-0.0081,0.0018,0.018,-0.013,-0.00047
791,P,0.0081,-0.0034,0.009,-0.024,0.00054
792,P,0.0111,-0.0005,0.005,-0.003,2e-05
793,N,-0.0038,0.0027,0.012,-0.01,4e-05
794,N,0.0042,0.0003,0.011,-0.011,0.00023
795,P,0.0073,0.0002,0.007,0.013,0.00013
796,P,-0.0009,0.0021,0.011,0.027,-0.00034
797,N,-0.0086,0.002,0.015,0.02,-0.0005
798,P,0.0035,0.0007,0.006,0.011,-4e-05
799,N,-0.0066,0.0026,0.011,0.009,-0.0004
800,N,-0.0044,0.0006,0.012,-0.012,0.00027
801,P,0.0077,-0.0015,0.007,-0.009,0.00045
802,P,0.0095,0.0027,0.009,0.015,-0.00011
803,N,-0.0078,-0.0022,0.014,0.021,-0.00046
804,P,0.0053,0.0,0.0,-0.009,0.00033
805,P,0.0094,0.0038,0.002,0.001,0.00025
806,N,-0.008,0.0015,0.009,0.011,-0.00038
807,N,-0.0085,0.0008,0.009,-0.014,0.00016
808,P,0.0132,0.001,0.006,0.001,0.00026
809,P,0.0082,0.0011,0.009,0.031,-0.00047
810,N,-0.0102,-0.0012,0.009,0.026,-0.00045
811,P,0.0056,0.0011,0.002,-0.011,0.00033
812,P,0.0081,0.0015,0.003,-0.001,0.00011
813,P,0.0078,0.0053,0.007,0.014,-0.00012
814,P,-0.0048,-0.0035,0.015,0.012,-1e-05
815,N,-0.0068,-0.0032,0.004,-0.003,-6e-05
816,P,0.0054,0.0026,0.013,-0.007,4e-05
817,N,-0.0041,0.0004,0.017,0.0,-0.00021
818,N,-0.0063,-0.0015,0.012,-0.011,-7e-05
819,P,0.0091,0.0011,0.006,-0.006,0.00025
820,P,0.0081,0.0009,0.007,0.014,-0.00014
821,N,-0.0128,0.0009,0.007,0.004,-0.00038
822,N,-0.0099,0.0007,0.007,-0.03,0.00033
823,P,0.0049,0.0029,0.009,-0.038,0.00042
824,P,0.0085,0.0039,0.017,-0.018,5e-05
825,P,0.0103,0.0036,0.015,-0.011,0.00026
826,P,0.0114,0.0046,0.018,0.014,-3e-05
827,P,-0.0034,0.0025,0.015,0.018,-4e-05
828,N,-0.0067,0.0032,0.015,0.006,-0.00013
829,P,0.0122,0.0026,0.017,0.004,0.00047
830,N,-0.0116,0.0022,0.018,0.018,-0.00057
831,N,-0.0061,0.0024,0.018,-0.012,-0.0004
832,P,0.0053,0.0006,0.012,-0.018,0.00071
833,P,0.0138,0.0037,0.007,0.012,0.00013
834,P,0.0038,0.0043,0.013,0.046,-0.00047
835,N,-0.0064,0.0047,0.018,0.043,-0.00058
836,P,0.008,0.0013,0.003,0.009,0.00035
837,N,0.0076,0.0057,0.005,0.023,-0.00039
838,N,-0.0064,0.0026,0.012,0.023,-0.00021
839,N,-0.0046,0.0032,0.014,-0.01,0.00023
840,P,0.0075,0.0039,0.016,-0.005,0.00025
841,P,0.0043,0.0031,0.017,0.011,-0.00025
842,N,-0.0076,0.0013,0.018,0.005,-0.00033
843,N,-0.0034,0.0022,0.016,-0.011,0.00039
844,P,0.0089,0.0016,0.013,-0.005,0.0005
845,P,0.0062,0.0039,0.014,0.016,-0.00058
846,N,-0.0135,0.0027,0.015,0.008,-0.00079
847,P,0.0111,0.0065,0.006,-0.021,0.0004
848,P,0.0134,0.0076,0.013,-0.003,5e-05
849,P,0.0095,0.0026,0.017,0.02,-0.00023
850,N,-0.0048,0.0027,0.019,0.029,-0.00077
851,P,0.0066,0.0008,0.014,0.012,0.00042
852,N,-0.0105,0.0021,0.007,0.002,-0.0002
853,N,0.0093,0.0059,0.016,-0.009,3e-05
854,N,-0.0055,0.0014,0.009,0.023,-0.00017
855,P,0.0051,0.002,0.008,0.009,0.00022
856,N,-0.0065,0.0033,0.011,0.013,-0.00034
857,P,0.0097,0.0007,0.018,0.011,0.00024
858,P,0.0083,0.0002,0.013,0.032,-0.0002
859,N,-0.0012,0.0006,0.01,0.041,-0.00052
860,N,-0.005,0.0017,0.008,0.006,-8e-05
861,P,0.0039,0.0034,0.011,0.001,0.00016
862,N,-0.0058,0.001,0.011,0.005,-0.00041
863,P,0.0069,0.0019,0.009,0.001,0.00049
864,P,0.0032,0.0026,0.009,0.027,-0.00047
865,N,-0.0168,0.0031,0.012,0.001,-0.00044
866,N,-0.0137,0.0021,0.011,-0.034,0.00052
867,P,0.0141,0.0072,0.004,-0.03,0.00014
868,N,-0.0051,0.0069,0.017,-0.01,-0.00091
869,N,-0.0142,0.0009,0.017,-0.024,-0.00036
870,N,-0.0068,0.0009,0.012,-0.043,0.00062
871,P,0.0098,0.0011,0.007,-0.041,0.00081
872,P,0.0165,0.0045,0.005,-0.019,0.00028
873,P,0.0121,0.0044,0.013,0.029,-0.00018
874,P,0.0036,0.0024,0.014,0.045,-0.00045
875,N,-0.0099,0.0012,0.013,0.036,-0.00043
876,N,-0.0078,0.0027,0.004,-0.013,-0.00031
877,P,0.0101,0.0045,0.008,-0.02,0.00039
878,P,0.0032,0.0037,0.014,0.01,4e-05
879,N,-0.0121,0.0023,0.015,0.001,-0.00062
880,P,0.0106,0.0016,0.009,-0.027,0.00038
881,N,-0.0109,0.0024,0.009,0.007,-0.00056
882,P,0.0079,0.0028,0.009,-0.02,0.00042
883,N,-0.0047,0.0019,0.013,0.008,-0.00023
884,P,0.0064,0.0013,0.011,0.003,0.00061
885,P,0.0095,0.0012,0.01,0.022,-0.00046
886,N,-0.0108,0.0016,0.009,0.021,-0.00061
887,N,-0.0037,-0.0001,0.001,-0.013,0.00042
888,P,0.0053,0.0054,0.006,-0.012,0.00044
889,P,0.0064,0.0011,0.013,0.013,-8e-05
890,P,0.0054,0.0013,0.007,0.029,0.0001
891,N,-0.0125,0.0017,0.005,0.023,-0.00051
892,N,0.0042,0.001,0.0,-0.008,0.00052
893,N,-0.0045,0.0064,0.011,0.013,-0.00095
894,N,-0.0155,0.0046,0.014,-0.004,-0.00054
895,P,0.0128,-0.0023,0.009,-0.021,0.00082
896,N,0.0008,0.0012,0.009,0.029,-0.00082
897,N,-0.0079,0.004,0.012,0.009,-1e-05
898,P,0.0057,0.0013,0.007,-0.008,0.00035
899,N,-0.0045,0.0042,0.01,0.0,-0.00064
900,N,-0.0079,0.004,0.013,-0.014,7e-05
901,P,0.005,0.0023,0.011,-0.02,0.00044
902,P,0.0076,0.0039,0.013,-0.009,4e-05
903,N,-0.0039,0.0019,0.011,0.006,-0.00062
904,N,-0.0086,0.0003,0.006,-0.012,0.0002
905,P,0.0069,0.0048,0.012,-0.005,9e-05
906,N,-0.0052,0.0014,0.013,0.001,-0.00021
907,N,-0.0048,0.0011,0.009,-0.012,8e-05
908,P,0.0079,0.0016,0.002,-0.004,0.00019
909,P,0.0092,0.0028,0.003,0.012,-3e-05
910,P,0.003,0.0022,0.003,0.031,-0.00028
911,N,-0.0072,0.0033,0.007,0.025,-0.00031
912,P,0.0101,0.0031,0.012,0.01,0.00035
913,P,0.0115,0.0022,0.012,0.034,-0.00011
914,P,0.0066,0.0014,0.011,0.047,-0.00042
915,N,-0.0107,0.0018,0.011,0.041,-0.00059
916,P,0.0041,0.0001,0.002,-0.013,0.00068
917,P,0.012,0.004,0.004,-0.001,0.00046
918,N,0.0041,0.0035,0.008,0.026,-0.00047
919,P,0.0002,0.0028,0.012,0.032,-4e-05
920,N,-0.0039,0.0019,0.015,0.021,-5e-05
921,P,0.0041,0.0024,0.011,0.009,0.00023
922,N,-0.0048,0.0025,0.012,0.014,-0.00027
923,N,-0.0041,0.0027,0.009,0.004,-0.00034
924,P,0.0097,0.0013,0.01,-0.006,0.00037
925,N,-0.012,0.0021,0.01,0.001,-0.00044
926,P,0.0075,0.001,0.005,-0.023,0.00065
927,P,0.0114,0.0028,0.008,-0.006,-1e-05
928,P,0.0041,0.004,0.014,0.012,0.00027
929,P,0.0036,-0.0045,0.006,0.013,0.00032
930,P,0.0067,0.0044,-0.001,0.028,1e-05
931,N,-0.0093,0.0041,0.005,0.029,-0.0007
932,N,-0.0058,0.0004,0.004,-0.032,0.00061
933,P,0.0046,0.0042,0.003,-0.021,2e-05
934,P,0.0044,0.0021,0.014,0.013,-6e-05
935,N,-0.0075,0.0016,0.011,0.006,-0.00021
936,P,0.0091,0.0015,0.006,-0.004,0.00031
937,P,0.0104,0.0019,0.005,0.013,-3e-05
938,N,0.004,0.0056,0.013,0.033,-0.00033
939,N,-0.0113,0.0025,0.018,0.012,-0.00021
940,N,-0.0095,0.001,0.013,-0.012,0.00035
941,P,0.005,0.0001,0.01,-0.014,0.0002
942,P,0.0075,0.0044,0.011,-0.004,0.00011
943,N,-0.0055,0.0047,0.033,0.006,-0.00019
944,P,-0.0008,0.0009,0.026,-0.011,0.00014
945,P,0.0015,0.0041,0.029,-0.011,0.0001
946,P,0.0024,0.0026,0.03,-0.008,4e-05
947,N,-0.0002,0.0004,0.027,-0.004,-0.00012
948,P,0.0044,0.0013,0.021,0.011,1e-05
949,P,-0.0041,0.0029,0.028,0.012,-0.00012
950,N,-0.0067,0.0025,0.029,0.001,-0.00011
951,N,-0.0077,-0.0019,0.026,-0.009,-5e-05
952,P,0.0062,0.0043,0.008,-0.017,0.00013
953,P,0.0036,0.0029,0.029,0.011,-2e-05
954,N,-0.0054,-0.0009,0.022,0.009,-0.00021
955,N,-0.0038,0.0005,0.015,-0.028,0.00025
956,P,0.0051,0.001,0.012,-0.026,0.00022
957,N,-0.0035,0.0014,0.018,-0.011,-7e-05
958,P,0.0065,0.0004,0.016,-0.007,0.00016
959,P,0.0062,0.001,0.015,0.013,-7e-05
960,N,-0.004,0.0009,0.016,0.02,-0.00015
961,N,-0.0034,0.0015,0.014,-0.013,5e-05
962,P,0.0045,0.0004,0.01,-0.012,0.00021
963,P,0.0039,0.0033,0.018,0.02,-8e-05
964,N,-0.0073,0.001,0.017,0.008,-0.00014
965,N,-0.0047,-0.0002,0.013,-0.012,0.00015
966,P,0.0074,0.001,0.01,-0.005,0.00018
967,P,0.0052,0.0017,0.011,0.014,-0.00014
968,P,-0.0058,0.0023,0.018,0.011,-0.00014
969,N,-0.0084,0.0008,0.017,-0.002,-0.00012
970,P,0.0089,0.0027,0.01,0.013,2e-05
971,P,0.0055,0.0041,0.017,0.031,-0.00019
972,N,-0.0077,-0.0015,0.015,0.025,-0.00022
973,N,0.0017,0.0059,0.027,0.011,-7e-05
974,P,0.0061,0.0019,0.005,0.031,7e-05
975,N,-0.0091,0.0007,0.018,0.028,-0.00027
